"","year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
"1",2006,18," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",75.0431540173515
"2",2004,24," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",70.4760196469445
"3",2003,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",130.982177377461
"4",2003,43," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",154.68529299563
"5",2005,50," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",75.0431540173515
"6",2008,54," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
"7",2009,44," Male"," Married"," Other"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",169.528538036679
"8",2008,30," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",111.720849360989
"9",2006,41," Male"," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"10",2004,52," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",128.680488220624
"11",2007,45," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",117.146816914805
"12",2007,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
"13",2005,35," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.4924795180001
"14",2003,39," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",134.705375118879
"15",2009,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
"16",2009,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",90.4819133566401
"17",2003,37," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",82.6796372966372
"18",2006,50," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",212.842352315711
"19",2007,56," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",129.156693004704
"20",2003,37," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",98.5993438603892
"21",2003,38," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",200.543262324662
"22",2005,40," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",50.406660861266
"23",2009,75," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
"24",2007,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",160.642475408263
"25",2006,38," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",94.0727147457005
"26",2005,49," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",277.601417511009
"27",2006,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",84.0459576539924
"28",2004,34," Male"," Married"," Other"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",65.1108537153447
"29",2008,57," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",116.265324062503
"30",2003,18," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",70.4760196469445
"31",2004,55," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",195.676307990453
"32",2005,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.402052302992
"33",2008,33," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
"34",2005,34," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",111.720849360989
"35",2006,36," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",89.8800467811106
"36",2003,56," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
"37",2006,70," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
"38",2004,25," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",103.90247060316
"39",2006,32," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",105.927810775063
"40",2003,27," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",66.2294082943902
"41",2004,28," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",34.6074177301288
"42",2007,27," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",109.833985642199
"43",2004,43," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",45.282169994022
"44",2005,50," Male"," Never Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",73.7757432746946
"45",2004,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",81.2832532842527
"46",2008,52," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",154.68529299563
"47",2009,35," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",267.901086855275
"48",2007,57," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
"49",2006,25," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",66.2294082943902
"50",2006,33," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",116.265324062503
